wavelength,mTagBFP2 ex,mTagBFP2 em
584,,0.0144
585,,0.0138
586,,0.0133
587,,0.0128
588,,0.0123
589,,0.0118
590,,0.0113
591,,0.0109
592,,0.0105
593,,0.0101
594,,0.0097
595,,0.0093
596,,0.009
597,,0.0087
598,,0.0083
599,,0.008
600,,0.0077
601,,0.0074
602,,0.0071
603,,0.0069
604,,0.0066
605,,0.0064
606,,0.0061
607,,0.0059
608,,0.0057
609,,0.0055
610,,0.0053
611,,0.0051
612,,0.0049
613,,0.0048
614,,0.0046
615,,0.0044
616,,0.0042
617,,0.0041
618,,0.004
619,,0.0038
620,,0.0037
621,,0.0035
622,,0.0034
623,,0.0032
624,,0.0031
625,,0.003
626,,0.0029
627,,0.0028
628,,0.0027
629,,0.0026
630,,0.0025
631,,0.0024
632,,0.0023
633,,0.0022
634,,0.0022
635,,0.0021
636,,0.002
637,,0.002
638,,0.0019
639,,0.0018
640,,0.0018
641,,0.0017
642,,0.0016
643,,0.0016
644,,0.0016
645,,0.0015
646,,0.0015
647,,0.0014
648,,0.0014
649,,0.0013
650,,0.0013
