Wavelength,Quantum Efficiency
300,0.001890359168242
320.025031289111,0.100189035916824
328.035043804756,0.219281663516068
335.043804755945,0.334593572778828
341.051314142678,0.4234404536862
357.071339173967,0.487712665406427
372.090112640801,0.574669187145558
381.101376720901,0.625708884688091
402.127659574468,0.718336483931947
423.153942428035,0.77882797731569
455.193992490613,0.846880907372401
500.250312891114,0.905482041587902
551.314142678348,0.950850661625709
596.370463078849,0.939508506616257
627.409261576971,0.924385633270321
656.445556946183,0.896030245746692
684.480600750939,0.856332703213611
724.530663329161,0.7882797731569
741.551939924906,0.746691871455577
761.576971214017,0.684310018903592
797.622027534418,0.586011342155009
810.63829787234,0.54820415879017
846.683354192741,0.468809073724008
866.708385481852,0.417769376181474
886.733416770964,0.357277882797732
900.750938673342,0.31758034026465
920.775969962453,0.268431001890359
941.80225281602,0.217391304347826
978.848560700876,0.155009451795841
999.874843554443,0.107750472589792
1034.91864831039,0.058601134215501
1054.9436795995,0.032136105860114
1077.97246558198,0.01890359168242
1100,0.007561436672968
